case_id,repeat,policy,run_id,log,insertion_success,stalled,stall_episodes,stalled_time_s,first_stall_s,max_wrist_force_n,max_wrist_torque_nm,max_normal_load_n,max_contact_force_n,max_penetration_mm,max_grasp_slip_mm,max_grasp_slip_deg,force_budget_exceeded,torque_budget_exceeded,grasp_retained,numerically_valid,intervention_count,insertion_time_s,time_to_success_s,final_depth_mm,max_depth_mm,active_insertion_time_s,intervention_time_s,outcome,rows,safety_stop,actual_unloading_crossings,verified_unloadings,recovery_failures,retries,evaluable_retries,stalled_retries,max_commanded_retract_mm,max_actual_retract_mm
y_negative_tilt,0,verified,y_negative_tilt/repeat0/verified,y_negative_tilt/repeat0/verified/trajectory.csv,False,True,1,0.025,9.2833333333329,3.9279191493988037,0.14649538695812225,13.962629318237305,4.179220676422119,0.06898772699059919,0.04886022361461073,0.10467831195095843,False,False,True,True,1,12.549999999999267,,17.010734975337982,17.298878729343414,7.3,5.25,unloading_budget_exhausted,1747,False,0,0,1,0,0,0,5.0,0.2683475613594055
y_negative_tilt,0,fixed,y_negative_tilt/repeat0/fixed,y_negative_tilt/repeat0/fixed/trajectory.csv,False,True,3,0.575,9.28333333333281,3.4737513065338135,0.18105126917362213,15.921327590942383,3.885599136352539,0.08026121213333681,0.052171628340147436,0.11869404022070311,False,False,True,True,2,19.999999999998753,,16.957951337099075,17.298878729343414,8.975,2.5,time_budget_exhausted,2641,False,0,0,,2,2,2,1.0,0.048704445362091064
y_negative_tilt,0,nominal,y_negative_tilt/repeat0/nominal,y_negative_tilt/repeat0/nominal/trajectory.csv,False,True,1,0.5833333333333334,9.291666666666138,3.650312900543213,0.14165931940078735,16.655590057373047,4.046149730682373,0.08360389620065689,0.05105113086756319,0.11869404022070311,False,False,True,True,0,20.00000000000624,,17.00333282351494,17.304041981697083,8.0,0.0,time_budget_exhausted,2641,False,0,0,,0,0,0,0.0,0.0
x_positive_drift_control,0,fixed,x_positive_drift_control/repeat0/fixed,x_positive_drift_control/repeat0/fixed/trajectory.csv,True,False,0,0.0,,1.3150354623794556,0.08904827386140823,1.1764591932296753,1.4705727100372314,0.002261434474348789,0.02177998612751253,0.07912936237050427,False,False,True,True,0,7.858333333341179,7.858333333341179,19.675148278474808,19.675148278474808,7.858333333333333,0.0,insertion_success,1184,False,0,0,,0,0,0,0.0,0.0
x_positive_drift_control,0,nominal,x_positive_drift_control/repeat0/nominal,x_positive_drift_control/repeat0/nominal/trajectory.csv,True,False,0,0.0,,1.3150354623794556,0.08904827386140823,1.1764591932296753,1.4705727100372314,0.002261434474348789,0.02177998612751253,0.07912936237050427,False,False,True,True,0,7.858333333341179,7.858333333341179,19.675148278474808,19.675148278474808,7.858333333333333,0.0,insertion_success,1184,False,0,0,,0,0,0,0.0,0.0
x_positive_drift_control,0,verified,x_positive_drift_control/repeat0/verified,x_positive_drift_control/repeat0/verified/trajectory.csv,True,False,0,0.0,,1.3188409805297852,0.0904630497097969,1.1792409420013428,1.4740432500839233,0.0024290864075737773,0.022446662114816718,0.07912936237050427,False,False,True,True,0,7.850000000007839,7.850000000007839,19.701843708753586,19.701843708753586,7.85,0.0,insertion_success,1183,False,0,0,0,0,0,0,0.0,0.0
y_positive_combined,0,nominal,y_positive_combined/repeat0/nominal,y_positive_combined/repeat0/nominal/trajectory.csv,False,True,1,1.025,8.850000000007043,3.8601417541503906,0.15729056298732758,16.698932647705078,4.1692376136779785,0.08530813647666946,0.0543538699275814,0.16312936999074168,False,False,True,True,0,19.99999999999943,,16.369642317295074,16.374485194683075,8.0,0.0,time_budget_exhausted,2641,False,0,0,,0,0,0,0.0,0.0
y_positive_combined,0,verified,y_positive_combined/repeat0/verified,y_positive_combined/repeat0/verified/trajectory.csv,False,False,0,0.0,,3.8694007396698,0.1562565118074417,12.793744087219238,4.2099995613098145,0.06426851905416697,0.04275553874322213,0.11869404022070311,False,False,True,True,1,12.049999999987222,,16.335097700357437,16.365887224674225,6.8,5.25,unloading_budget_exhausted,1687,False,0,0,1,0,0,0,5.0,0.02954527735710144
y_positive_combined,0,fixed,y_positive_combined/repeat0/fixed,y_positive_combined/repeat0/fixed/trajectory.csv,False,True,2,0.7666666666666666,10.55833333332373,3.891838550567627,0.155149906873703,16.31279754638672,4.201984405517578,0.08406269625993446,0.05410346057033166,0.15825873808122176,False,False,True,True,2,19.99999999997999,,16.35357514023781,16.356704384088516,8.691666666666666,2.5,time_budget_exhausted,2641,False,0,0,,2,2,2,1.0,0.011071562767028809
x_positive_combined,0,verified,x_positive_combined/repeat0/verified,x_positive_combined/repeat0/verified/trajectory.csv,False,False,0,0.0,,3.1866049766540527,0.16668827831745148,10.542981147766113,3.2645509243011475,0.04807920049643144,0.0849039206514135,0.14265250287968312,False,False,True,True,1,12.649999999986676,,17.09420010447502,17.186371237039566,7.3999999999999995,5.25,unloading_budget_exhausted,1759,False,0,0,1,0,0,0,5.0,0.08436664938926697
