trajectory_id,folder,family,sample_role,split_group_id,checkpoint_depth_mm,time_s,horizon_s,Y_R_tested,Y_stall,stall_label_reason,time_to_first_stall_s
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,5.0,6.066666666666414,1.0,1,0,full_horizon_without_stall,
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,5.0,6.066666666666414,2.0,1,0,full_horizon_without_stall,
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,10.0,6.974999999999696,1.0,1,0,full_horizon_without_stall,
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,10.0,6.974999999999696,2.0,1,0,full_horizon_without_stall,
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,15.0,7.991666666666305,1.0,1,0,full_horizon_without_stall,
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,15.0,7.991666666666305,2.0,1,0,full_horizon_without_stall,
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,20.0,9.80833333333287,1.0,1,,right_censored,
slot000_try00,slot000_try00,centered,repeatability_control,centered_controls,20.0,9.80833333333287,2.0,1,,right_censored,
slot001_try00,slot001_try00,x_offset,characterization,slot001,5.0,6.074999999994475,1.0,1,0,full_horizon_without_stall,
slot001_try00,slot001_try00,x_offset,characterization,slot001,5.0,6.074999999994475,2.0,1,0,full_horizon_without_stall,
slot001_try00,slot001_try00,x_offset,characterization,slot001,10.0,6.974999999993656,1.0,1,0,full_horizon_without_stall,
slot001_try00,slot001_try00,x_offset,characterization,slot001,10.0,6.974999999993656,2.0,1,0,full_horizon_without_stall,
slot001_try00,slot001_try00,x_offset,characterization,slot001,15.0,7.991666666659398,1.0,1,0,full_horizon_without_stall,
slot001_try00,slot001_try00,x_offset,characterization,slot001,15.0,7.991666666659398,2.0,1,0,full_horizon_without_stall,
slot001_try00,slot001_try00,x_offset,characterization,slot001,20.0,9.808333333324413,1.0,1,,right_censored,
slot001_try00,slot001_try00,x_offset,characterization,slot001,20.0,9.808333333324413,2.0,1,,right_censored,
slot002_try00,slot002_try00,y_offset,characterization,slot002,5.0,6.108333333327778,1.0,1,0,full_horizon_without_stall,
slot002_try00,slot002_try00,y_offset,characterization,slot002,5.0,6.108333333327778,2.0,1,0,full_horizon_without_stall,
slot002_try00,slot002_try00,y_offset,characterization,slot002,10.0,7.0333333333269366,1.0,1,0,full_horizon_without_stall,
slot002_try00,slot002_try00,y_offset,characterization,slot002,10.0,7.0333333333269366,2.0,1,0,full_horizon_without_stall,
slot002_try00,slot002_try00,y_offset,characterization,slot002,15.0,8.06666666665933,1.0,1,0,full_horizon_without_stall,
slot002_try00,slot002_try00,y_offset,characterization,slot002,15.0,8.06666666665933,2.0,1,,right_censored,
slot003_try00,slot003_try00,diagonal_offset,characterization,slot003,5.0,6.066666666661149,1.0,1,0,full_horizon_without_stall,
slot003_try00,slot003_try00,diagonal_offset,characterization,slot003,5.0,6.066666666661149,2.0,1,0,full_horizon_without_stall,
slot003_try00,slot003_try00,diagonal_offset,characterization,slot003,10.0,6.974999999993656,1.0,1,0,full_horizon_without_stall,
slot003_try00,slot003_try00,diagonal_offset,characterization,slot003,10.0,6.974999999993656,2.0,1,0,full_horizon_without_stall,
slot003_try00,slot003_try00,diagonal_offset,characterization,slot003,15.0,7.991666666659398,1.0,1,0,full_horizon_without_stall,
slot003_try00,slot003_try00,diagonal_offset,characterization,slot003,15.0,7.991666666659398,2.0,1,0,full_horizon_without_stall,
slot003_try00,slot003_try00,diagonal_offset,characterization,slot003,20.0,9.808333333324413,1.0,1,,right_censored,
slot003_try00,slot003_try00,diagonal_offset,characterization,slot003,20.0,9.808333333324413,2.0,1,,right_censored,
slot004_try00,slot004_try00,tilt_only,characterization,slot004,5.0,6.074999999994475,1.0,1,0,full_horizon_without_stall,
slot004_try00,slot004_try00,tilt_only,characterization,slot004,5.0,6.074999999994475,2.0,1,0,full_horizon_without_stall,
slot004_try00,slot004_try00,tilt_only,characterization,slot004,10.0,6.974999999993656,1.0,1,0,full_horizon_without_stall,
slot004_try00,slot004_try00,tilt_only,characterization,slot004,10.0,6.974999999993656,2.0,1,0,full_horizon_without_stall,
slot004_try00,slot004_try00,tilt_only,characterization,slot004,15.0,8.00833333332605,1.0,1,0,full_horizon_without_stall,
slot004_try00,slot004_try00,tilt_only,characterization,slot004,15.0,8.00833333332605,2.0,1,,right_censored,
slot005_try00,slot005_try00,offset_tilt,characterization,slot005,5.0,6.091666666661126,1.0,,0,full_horizon_without_stall,
slot005_try00,slot005_try00,offset_tilt,characterization,slot005,5.0,6.091666666661126,2.0,,0,full_horizon_without_stall,
slot005_try00,slot005_try00,offset_tilt,characterization,slot005,10.0,7.0333333333269366,1.0,1,0,full_horizon_without_stall,
slot005_try00,slot005_try00,offset_tilt,characterization,slot005,10.0,7.0333333333269366,2.0,1,0,full_horizon_without_stall,
slot005_try00,slot005_try00,offset_tilt,characterization,slot005,15.0,8.074999999992656,1.0,1,0,full_horizon_without_stall,
slot005_try00,slot005_try00,offset_tilt,characterization,slot005,15.0,8.074999999992656,2.0,1,,right_censored,
slot005_try00,slot005_try00,offset_tilt,characterization,slot005,20.0,10.624999999990337,1.0,,,not_inserting,
slot005_try00,slot005_try00,offset_tilt,characterization,slot005,20.0,10.624999999990337,2.0,,,not_inserting,
slot006_try00,slot006_try00,centered,repeatability_control,centered_controls,5.0,6.066666666661149,1.0,1,0,full_horizon_without_stall,
slot006_try00,slot006_try00,centered,repeatability_control,centered_controls,5.0,6.066666666661149,2.0,1,0,full_horizon_without_stall,
slot006_try00,slot006_try00,centered,repeatability_control,centered_controls,10.0,6.974999999993656,1.0,1,0,full_horizon_without_stall,
slot006_try00,slot006_try00,centered,repeatability_control,centered_controls,10.0,6.974999999993656,2.0,1,0,full_horizon_without_stall,
slot006_try00,slot006_try00,centered,repeatability_control,centered_controls,15.0,7.991666666659398,1.0,1,0,full_horizon_without_stall,
slot006_try00,slot006_try00,centered,repeatability_control,centered_controls,15.0,7.991666666659398,2.0,1,0,full_horizon_without_stall,
slot006_try00,slot006_try00,centered,repeatability_control,centered_controls,20.0,9.808333333324413,1.0,1,,right_censored,
slot006_try00,slot006_try00,centered,repeatability_control,centered_controls,20.0,9.808333333324413,2.0,1,,right_censored,
slot007_try00,slot007_try00,x_offset,characterization,slot007,5.0,6.074999999994475,1.0,1,0,full_horizon_without_stall,
slot007_try00,slot007_try00,x_offset,characterization,slot007,5.0,6.074999999994475,2.0,1,0,full_horizon_without_stall,
slot007_try00,slot007_try00,x_offset,characterization,slot007,10.0,6.974999999993656,1.0,1,0,full_horizon_without_stall,
slot007_try00,slot007_try00,x_offset,characterization,slot007,10.0,6.974999999993656,2.0,1,0,full_horizon_without_stall,
slot007_try00,slot007_try00,x_offset,characterization,slot007,15.0,7.991666666659398,1.0,1,0,full_horizon_without_stall,
slot007_try00,slot007_try00,x_offset,characterization,slot007,15.0,7.991666666659398,2.0,1,0,full_horizon_without_stall,
slot007_try00,slot007_try00,x_offset,characterization,slot007,20.0,9.816666666657738,1.0,,,right_censored,
slot007_try00,slot007_try00,x_offset,characterization,slot007,20.0,9.816666666657738,2.0,,,right_censored,
slot008_try00,slot008_try00,y_offset,characterization,slot008,5.0,6.1500000000783075,1.0,,0,full_horizon_without_stall,
slot008_try00,slot008_try00,y_offset,characterization,slot008,5.0,6.1500000000783075,2.0,,0,full_horizon_without_stall,
slot008_try00,slot008_try00,y_offset,characterization,slot008,10.0,7.050000000089767,1.0,1,0,full_horizon_without_stall,
slot008_try00,slot008_try00,y_offset,characterization,slot008,10.0,7.050000000089767,2.0,1,0,full_horizon_without_stall,
slot008_try00,slot008_try00,y_offset,characterization,slot008,15.0,8.075000000102818,1.0,1,0,full_horizon_without_stall,
slot008_try00,slot008_try00,y_offset,characterization,slot008,15.0,8.075000000102818,2.0,1,,right_censored,
slot008_try00,slot008_try00,y_offset,characterization,slot008,20.0,10.533333333467453,1.0,,,not_inserting,
slot008_try00,slot008_try00,y_offset,characterization,slot008,20.0,10.533333333467453,2.0,,,not_inserting,
slot009_try00,slot009_try00,diagonal_offset,characterization,slot009,5.0,6.0750000000773525,1.0,1,0,full_horizon_without_stall,
slot009_try00,slot009_try00,diagonal_offset,characterization,slot009,5.0,6.0750000000773525,2.0,1,0,full_horizon_without_stall,
slot009_try00,slot009_try00,diagonal_offset,characterization,slot009,10.0,6.975000000088812,1.0,1,0,full_horizon_without_stall,
slot009_try00,slot009_try00,diagonal_offset,characterization,slot009,10.0,6.975000000088812,2.0,1,0,full_horizon_without_stall,
slot009_try00,slot009_try00,diagonal_offset,characterization,slot009,15.0,7.991666666768424,1.0,1,0,full_horizon_without_stall,
slot009_try00,slot009_try00,diagonal_offset,characterization,slot009,15.0,7.991666666768424,2.0,1,0,full_horizon_without_stall,
slot009_try00,slot009_try00,diagonal_offset,characterization,slot009,20.0,9.808333333458222,1.0,1,,right_censored,
slot009_try00,slot009_try00,diagonal_offset,characterization,slot009,20.0,9.808333333458222,2.0,1,,right_censored,
slot010_try00,slot010_try00,tilt_only,characterization,slot010,5.0,6.083333333410792,1.0,1,0,full_horizon_without_stall,
slot010_try00,slot010_try00,tilt_only,characterization,slot010,5.0,6.083333333410792,2.0,1,0,full_horizon_without_stall,
slot010_try00,slot010_try00,tilt_only,characterization,slot010,10.0,6.983333333422252,1.0,1,0,full_horizon_without_stall,
slot010_try00,slot010_try00,tilt_only,characterization,slot010,10.0,6.983333333422252,2.0,1,0,full_horizon_without_stall,
slot010_try00,slot010_try00,tilt_only,characterization,slot010,15.0,8.083333333436258,1.0,1,0,full_horizon_without_stall,
slot010_try00,slot010_try00,tilt_only,characterization,slot010,15.0,8.083333333436258,2.0,1,,right_censored,
slot011_try00,slot011_try00,offset_tilt,characterization,slot011,5.0,6.083333333410792,1.0,1,0,full_horizon_without_stall,
slot011_try00,slot011_try00,offset_tilt,characterization,slot011,5.0,6.083333333410792,2.0,1,0,full_horizon_without_stall,
slot011_try00,slot011_try00,offset_tilt,characterization,slot011,10.0,7.00833333342257,1.0,1,0,full_horizon_without_stall,
slot011_try00,slot011_try00,offset_tilt,characterization,slot011,10.0,7.00833333342257,2.0,1,0,full_horizon_without_stall,
slot011_try00,slot011_try00,offset_tilt,characterization,slot011,15.0,8.04166666676906,1.0,1,0,full_horizon_without_stall,
slot011_try00,slot011_try00,offset_tilt,characterization,slot011,15.0,8.04166666676906,2.0,1,,right_censored,
slot012_try00,slot012_try00,centered,repeatability_control,centered_controls,5.0,6.066666666743913,1.0,1,0,full_horizon_without_stall,
slot012_try00,slot012_try00,centered,repeatability_control,centered_controls,5.0,6.066666666743913,2.0,1,0,full_horizon_without_stall,
slot012_try00,slot012_try00,centered,repeatability_control,centered_controls,10.0,6.975000000088812,1.0,1,0,full_horizon_without_stall,
slot012_try00,slot012_try00,centered,repeatability_control,centered_controls,10.0,6.975000000088812,2.0,1,0,full_horizon_without_stall,
