trajectory_id,slot,retry,family,offset_x_mm,offset_y_mm,roll_deg,pitch_deg,insertion_duration_s,sampling_slot,sample_role,split_group_id
slot000_try00,0,0,centered,0.0,0.0,0.0,0.0,8.0,0,repeatability_control,centered_controls
slot001_try00,1,0,x_offset,0.3823904438697262,0.0,0.0,0.0,8.0,1,characterization,slot001
slot002_try00,2,0,y_offset,0.0,0.8762014952037551,0.0,0.0,8.0,2,characterization,slot002
slot003_try00,3,0,diagonal_offset,0.3504299223919435,0.3504299223919435,0.0,0.0,8.0,3,characterization,slot003
slot004_try00,4,0,tilt_only,0.0,0.0,2.4412919942861073,0.0,8.0,4,characterization,slot004
slot005_try00,5,0,offset_tilt,0.6601368025127385,0.6601368025127385,1.4125851942457595,0.0,8.0,5,characterization,slot005
slot006_try00,6,0,centered,0.0,0.0,0.0,0.0,8.0,6,repeatability_control,centered_controls
slot007_try00,7,0,x_offset,-0.3984945774498705,0.0,0.0,0.0,8.0,7,characterization,slot007
slot008_try00,8,0,y_offset,0.0,-0.9365808593593947,0.0,0.0,8.0,8,characterization,slot008
slot009_try00,9,0,diagonal_offset,-0.21137713502455524,0.21137713502455524,0.0,0.0,8.0,9,characterization,slot009
slot010_try00,10,0,tilt_only,0.0,0.0,0.0,3.2818242358445744,8.0,10,characterization,slot010
slot011_try00,11,0,offset_tilt,-0.5190247299273111,0.5190247299273111,2.0058962341409394,0.0,8.0,11,characterization,slot011
slot012_try00,12,0,centered,0.0,0.0,0.0,0.0,8.0,12,repeatability_control,centered_controls
slot013_try00,13,0,x_offset,0.6214455116061409,0.0,0.0,0.0,8.0,13,characterization,slot013
slot014_try00,14,0,y_offset,0.0,0.9523299869510955,0.0,0.0,8.0,14,characterization,slot014
slot015_try00,15,0,diagonal_offset,-0.2103109424436911,-0.2103109424436911,0.0,0.0,8.0,15,characterization,slot015
slot016_try00,16,0,tilt_only,0.0,0.0,-2.638548240615676,0.0,8.0,16,characterization,slot016
slot017_try00,17,0,offset_tilt,-0.13760597750199008,-0.13760597750199008,0.7193775002040874,0.0,8.0,17,characterization,slot017
slot018_try00,18,0,centered,0.0,0.0,0.0,0.0,8.0,18,repeatability_control,centered_controls
slot019_try00,19,0,x_offset,-0.479059669365712,0.0,0.0,0.0,8.0,19,characterization,slot019
slot020_try00,20,0,y_offset,0.0,-0.8643880387897888,0.0,0.0,8.0,20,characterization,slot020
slot021_try00,21,0,diagonal_offset,0.25379694678442294,-0.25379694678442294,0.0,0.0,8.0,21,characterization,slot021
slot022_try00,22,0,tilt_only,0.0,0.0,0.0,-1.324075679349383,8.0,22,characterization,slot022
slot023_try00,23,0,offset_tilt,0.20530769903472781,-0.20530769903472781,0.4385134509550665,0.0,8.0,23,characterization,slot023
slot024_try00,24,0,centered,0.0,0.0,0.0,0.0,8.0,24,repeatability_control,centered_controls
slot025_try00,25,0,x_offset,0.6388830293335381,0.0,0.0,0.0,8.0,25,characterization,slot025
slot026_try00,26,0,y_offset,0.0,0.8916297505745929,0.0,0.0,8.0,26,characterization,slot026
slot027_try00,27,0,diagonal_offset,0.135732475495545,0.135732475495545,0.0,0.0,8.0,27,characterization,slot027
slot028_try00,28,0,tilt_only,0.0,0.0,0.6294643138950999,0.0,8.0,28,characterization,slot028
slot029_try00,29,0,offset_tilt,0.5904029390776221,0.5904029390776221,0.0,2.0098296927076067,8.0,29,characterization,slot029
slot030_try00,30,0,centered,0.0,0.0,0.0,0.0,8.0,30,repeatability_control,centered_controls
slot031_try00,31,0,x_offset,-0.12137003647308198,0.0,0.0,0.0,8.0,31,characterization,slot031
slot032_try00,32,0,y_offset,0.0,-0.31920378050750464,0.0,0.0,8.0,32,characterization,slot032
slot033_try00,33,0,diagonal_offset,-0.5309461048793502,0.5309461048793502,0.0,0.0,8.0,33,characterization,slot033
