case_id,repeat,policy,policy_order,run_id,log,family,severity,ramp_onset_mm,insertion_success,stalled,stall_episodes,stalled_time_s,first_stall_s,max_wrist_force_n,max_wrist_torque_nm,max_normal_load_n,max_contact_force_n,max_penetration_mm,max_grasp_slip_mm,max_grasp_slip_deg,force_budget_exceeded,torque_budget_exceeded,grasp_retained,numerically_valid,intervention_count,insertion_time_s,time_to_success_s,final_depth_mm,max_depth_mm,active_insertion_time_s,intervention_time_s,outcome,rows,safety_stop,recovery_count,productivity_trigger,first_productivity_trigger_s,productivity_trigger_onsets,actual_productivity_recoveries,eligible_detector_checks,last_eligible_eta_raw,minimum_eligible_eta_raw,terminal_productivity_consecutive,last_check_time_s,terminal_time_s,terminal_grasp_slip_mm,terminal_grasp_slip_deg,terminal_wrist_force_n,terminal_wrist_torque_nm,terminal_normal_load_n,terminal_min_separation_mm,verified_unloadings,ready_unloadings,retry_successes,retries,repeated_stalls,failure_class,terminal_phase,condition_plot,final_offset_x_mm,final_offset_y_mm,final_roll_deg,final_pitch_deg
g000_axis_offset_moderate_v0,0,nominal,0,g000_axis_offset_moderate_v0/repeat0/nominal,g000_axis_offset_moderate_v0/repeat0/nominal/trajectory.csv,axis_offset,moderate,7.0,True,False,0,0.0,,1.0539391040802002,0.07165611535310745,0.9544122815132141,1.1930147409439087,0.002596738568172441,0.023068732843967155,0.08846931922527276,False,False,True,True,0,7.691666666657852,7.691666666657852,19.732405990362167,19.732405990362167,7.691666666666666,0.0,insertion_success,1164,False,0,False,,0,0,27,1.2347553968710114,0.8860975208849308,0,9.599999999991269,9.691666666657852,0.00589608271184261,0.03956468118525214,0.940363347530365,0.047412045300006866,0.8616021871566772,-8.184839117575393e-05,0,0,0,0,0,success,insert,conditions/g000_axis_offset_moderate_v0.png,0.7,0.0,0.0,0.0
g000_axis_offset_moderate_v0,0,axial,1,g000_axis_offset_moderate_v0/repeat0/axial,g000_axis_offset_moderate_v0/repeat0/axial/trajectory.csv,axis_offset,moderate,7.0,True,False,0,0.0,,1.001206398010254,0.07428459078073502,0.9099509119987488,1.1373786926269531,0.001982014282475575,0.022652959160041064,0.08846931922527276,False,False,True,True,0,7.683333333324526,7.683333333324526,19.722239673137665,19.722239673137665,7.683333333333334,0.0,insertion_success,1163,False,0,False,,0,0,27,1.191743148094616,0.8936664845684088,0,9.599999999991269,9.683333333324526,0.018881548385252245,0.055952909680744456,0.006961102597415447,0.0004135953786317259,0.0,0.0,0,0,0,0,0,success,insert,conditions/g000_axis_offset_moderate_v0.png,0.7,0.0,0.0,0.0
g000_axis_offset_moderate_v0,0,dewedge,2,g000_axis_offset_moderate_v0/repeat0/dewedge,g000_axis_offset_moderate_v0/repeat0/dewedge/trajectory.csv,axis_offset,moderate,7.0,True,False,0,0.0,,1.001206398010254,0.07428459078073502,0.9099509119987488,1.1373786926269531,0.001982014282475575,0.022652959160041064,0.08846931922527276,False,False,True,True,0,7.683333333324526,7.683333333324526,19.722239673137665,19.722239673137665,7.683333333333334,0.0,insertion_success,1163,False,0,False,,0,0,27,1.191743148094616,0.8936664845684088,0,9.599999999991269,9.683333333324526,0.018881548385252245,0.055952909680744456,0.006961102597415447,0.0004135953786317259,0.0,0.0,0,0,0,0,0,success,insert,conditions/g000_axis_offset_moderate_v0.png,0.7,0.0,0.0,0.0
g000_axis_offset_moderate_v0,0,force,3,g000_axis_offset_moderate_v0/repeat0/force,g000_axis_offset_moderate_v0/repeat0/force/trajectory.csv,axis_offset,moderate,7.0,True,False,0,0.0,,1.0539391040802002,0.07165611535310745,0.9544122815132141,1.1930147409439087,0.002596738568172441,0.023068732843967155,0.08846931922527276,False,False,True,True,0,7.691666666657852,7.691666666657852,19.732405990362167,19.732405990362167,7.691666666666666,0.0,insertion_success,1164,False,0,False,,0,0,27,1.2347553968710114,0.8860975208849308,0,9.599999999991269,9.691666666657852,0.00589608271184261,0.03956468118525214,0.940363347530365,0.047412045300006866,0.8616021871566772,-8.184839117575393e-05,0,0,0,0,0,success,insert,conditions/g000_axis_offset_moderate_v0.png,0.7,0.0,0.0,0.0
g001_axis_offset_moderate_v1,0,axial,0,g001_axis_offset_moderate_v1/repeat0/axial,g001_axis_offset_moderate_v1/repeat0/axial/trajectory.csv,axis_offset,moderate,12.0,True,False,0,0.0,,0.5750532746315002,0.06739338487386703,0.6161051392555237,0.7701015472412109,0.002591877091617789,0.021966310669085942,0.08846931922527276,False,False,True,True,0,7.708333333456949,7.708333333456949,19.72162127494812,19.72162127494812,7.708333333333333,0.0,insertion_success,1166,False,0,False,,0,0,19,1.0811428050316232,0.9828133790698174,0,9.70000000012351,9.708333333456949,0.009983968993765302,0.03956468118525214,0.278125137090683,0.010990365408360958,0.2859165668487549,0.0,0,0,0,0,0,success,insert,conditions/g001_axis_offset_moderate_v1.png,-0.7,0.0,0.0,0.0
g001_axis_offset_moderate_v1,0,dewedge,1,g001_axis_offset_moderate_v1/repeat0/dewedge,g001_axis_offset_moderate_v1/repeat0/dewedge/trajectory.csv,axis_offset,moderate,12.0,True,False,0,0.0,,0.6091271638870239,0.07458118349313736,0.6903277039527893,0.8628959059715271,0.0018709064306676737,0.024692177248653024,0.07912936237050427,False,False,True,True,0,7.708333333456949,7.708333333456949,19.707200676202774,19.707200676202774,7.708333333333333,0.0,insertion_success,1166,False,0,False,,0,0,19,1.0810024441346868,0.9826995667874491,0,9.70000000012351,9.708333333456949,0.013826732356392313,0.0,0.22189858555793762,0.03764580935239792,0.15979087352752686,0.0,0,0,0,0,0,success,insert,conditions/g001_axis_offset_moderate_v1.png,-0.7,0.0,0.0,0.0
g001_axis_offset_moderate_v1,0,force,2,g001_axis_offset_moderate_v1/repeat0/force,g001_axis_offset_moderate_v1/repeat0/force/trajectory.csv,axis_offset,moderate,12.0,True,False,0,0.0,,0.6091271638870239,0.07458118349313736,0.6903277039527893,0.8628959059715271,0.0018709064306676737,0.024692177248653024,0.07912936237050427,False,False,True,True,0,7.708333333456949,7.708333333456949,19.707200676202774,19.707200676202774,7.708333333333333,0.0,insertion_success,1166,False,0,False,,0,0,19,1.0810024441346868,0.9826995667874491,0,9.70000000012351,9.708333333456949,0.013826732356392313,0.0,0.22189858555793762,0.03764580935239792,0.15979087352752686,0.0,0,0,0,0,0,success,insert,conditions/g001_axis_offset_moderate_v1.png,-0.7,0.0,0.0,0.0
g001_axis_offset_moderate_v1,0,nominal,3,g001_axis_offset_moderate_v1/repeat0/nominal,g001_axis_offset_moderate_v1/repeat0/nominal/trajectory.csv,axis_offset,moderate,12.0,True,False,0,0.0,,0.5750532746315002,0.06739338487386703,0.6161051392555237,0.7701015472412109,0.002591877091617789,0.021966310669085942,0.08846931922527276,False,False,True,True,0,7.708333333456949,7.708333333456949,19.72162127494812,19.72162127494812,7.708333333333333,0.0,insertion_success,1166,False,0,False,,0,0,19,1.0811428050316232,0.9828133790698174,0,9.70000000012351,9.708333333456949,0.009983968993765302,0.03956468118525214,0.278125137090683,0.010990365408360958,0.2859165668487549,0.0,0,0,0,0,0,success,insert,conditions/g001_axis_offset_moderate_v1.png,-0.7,0.0,0.0,0.0
g002_axis_offset_moderate_v2,0,axial,0,g002_axis_offset_moderate_v2/repeat0/axial,g002_axis_offset_moderate_v2/repeat0/axial/trajectory.csv,axis_offset,moderate,15.0,True,False,0,0.0,,0.23725801706314087,0.024138079956173897,0.23612530529499054,0.29514506459236145,0.002001992243094719,0.022085690943640657,0.07912936237050427,False,False,True,True,0,7.683333333192422,7.683333333192422,19.7316013276577,19.7316013276577,7.683333333333334,0.0,insertion_success,1163,False,0,False,,0,0,11,0.9822154874921364,0.9822154874921364,0,9.599999999860302,9.683333333192422,0.01518420503998641,0.03956468118525214,0.061332181096076965,0.004285088274627924,0.04604311287403107,0.0,0,0,0,0,0,success,insert,conditions/g002_axis_offset_moderate_v2.png,0.0,0.7,0.0,0.0
g002_axis_offset_moderate_v2,0,dewedge,1,g002_axis_offset_moderate_v2/repeat0/dewedge,g002_axis_offset_moderate_v2/repeat0/dewedge/trajectory.csv,axis_offset,moderate,15.0,True,False,0,0.0,,0.2777858078479767,0.021282456815242767,0.3238060772418976,0.40472763776779175,0.002001992243094719,0.02177998612751253,0.07912936237050427,False,False,True,True,0,7.649999999859574,7.649999999859574,19.69957873225212,19.69957873225212,7.6499999999999995,0.0,insertion_success,1159,False,0,False,,0,0,11,0.9819481646283925,0.9819481646283925,0,9.599999999860302,9.649999999859574,0.018506967535358854,0.06852804166478502,0.14374732971191406,0.01831217110157013,0.1154247373342514,-0.0004289657056233409,0,0,0,0,0,success,insert,conditions/g002_axis_offset_moderate_v2.png,0.0,0.7,0.0,0.0
