case_id,repeat,policy,run_id,log,insertion_success,stalled,stall_episodes,stalled_time_s,first_stall_s,max_wrist_force_n,max_wrist_torque_nm,max_normal_load_n,max_contact_force_n,max_penetration_mm,max_grasp_slip_mm,max_grasp_slip_deg,force_budget_exceeded,torque_budget_exceeded,grasp_retained,numerically_valid,intervention_count,insertion_time_s,time_to_success_s,final_depth_mm,max_depth_mm,active_insertion_time_s,intervention_time_s,outcome,rows
y_negative_tilt,0,productivity,y_negative_tilt/repeat0/productivity,y_negative_tilt/repeat0/productivity/trajectory.csv,False,True,3,0.575,9.2833333333329,3.4737513065338135,0.18105126917362213,15.921327590942383,3.885599136352539,0.08026121213333681,0.052171628340147436,0.11869404022070311,False,False,True,True,2,19.999999999998842,,16.957951337099075,17.298878729343414,8.975,2.5,time_budget_exhausted,2641
y_negative_tilt,0,force,y_negative_tilt/repeat0/force,y_negative_tilt/repeat0/force/trajectory.csv,False,True,2,0.5333333333333333,10.758333333332722,3.500013589859009,0.16302619874477386,16.318157196044922,3.878758668899536,0.0816376123111695,0.0551808625459671,0.11869404022070311,False,False,True,True,2,19.99999999999875,,16.992246359586716,17.298878729343414,8.658333333333333,2.5,time_budget_exhausted,2641
y_negative_tilt,0,nominal,y_negative_tilt/repeat0/nominal,y_negative_tilt/repeat0/nominal/trajectory.csv,False,True,1,0.5833333333333334,9.291666666669144,3.650312900543213,0.14165931940078735,16.655590057373047,4.046149730682373,0.08360389620065689,0.05105113086756319,0.11869404022070311,False,False,True,True,0,20.00000000001259,,17.00333282351494,17.304041981697083,8.0,0.0,time_budget_exhausted,2641
x_positive_drift_control,0,force,x_positive_drift_control/repeat0/force,x_positive_drift_control/repeat0/force/trajectory.csv,True,False,0,0.0,,1.3150354623794556,0.08904827386140823,1.1764591932296753,1.4705727100372314,0.002261434474348789,0.02177998612751253,0.07912936237050427,False,False,True,True,0,7.858333333341179,7.858333333341179,19.675148278474808,19.675148278474808,7.858333333333333,0.0,insertion_success,1184
x_positive_drift_control,0,nominal,x_positive_drift_control/repeat0/nominal,x_positive_drift_control/repeat0/nominal/trajectory.csv,True,False,0,0.0,,1.3150354623794556,0.08904827386140823,1.1764591932296753,1.4705727100372314,0.002261434474348789,0.02177998612751253,0.07912936237050427,False,False,True,True,0,7.858333333341179,7.858333333341179,19.675148278474808,19.675148278474808,7.858333333333333,0.0,insertion_success,1184
x_positive_drift_control,0,productivity,x_positive_drift_control/repeat0/productivity,x_positive_drift_control/repeat0/productivity/trajectory.csv,True,False,0,0.0,,1.3188409805297852,0.0904630497097969,1.1792409420013428,1.4740432500839233,0.0024290864075737773,0.022446662114816718,0.07912936237050427,False,False,True,True,0,7.850000000007839,7.850000000007839,19.701843708753586,19.701843708753586,7.85,0.0,insertion_success,1183
y_positive_combined,0,nominal,y_positive_combined/repeat0/nominal,y_positive_combined/repeat0/nominal/trajectory.csv,False,True,1,1.025,8.849999999998687,3.8601417541503906,0.15729056298732758,16.698932647705078,4.1692376136779785,0.08530813647666946,0.0543538699275814,0.16312936999074168,False,False,True,True,0,19.999999999986727,,16.369642317295074,16.374485194683075,8.0,0.0,time_budget_exhausted,2641
y_positive_combined,0,productivity,y_positive_combined/repeat0/productivity,y_positive_combined/repeat0/productivity/trajectory.csv,False,True,2,0.7583333333333333,10.55833333332373,3.6798341274261475,0.17872267961502075,16.67090606689453,3.967053174972534,0.08530813647666946,0.053365114581538364,0.16312936999074168,False,False,True,True,2,19.99999999997999,,16.365615278482437,16.374153643846512,8.683333333333334,2.5,time_budget_exhausted,2641
y_positive_combined,0,force,y_positive_combined/repeat0/force,y_positive_combined/repeat0/force/trajectory.csv,False,True,3,0.9333333333333333,8.841666666658625,3.7523837089538574,0.17731869220733643,16.33258819580078,4.049508571624756,0.08353835437446833,0.05309935659170151,0.15825873808122176,False,False,True,True,2,19.99999999997999,,16.354983299970627,16.356395184993744,8.891666666666666,2.5,time_budget_exhausted,2641
x_positive_combined,0,productivity,x_positive_combined/repeat0/productivity,x_positive_combined/repeat0/productivity/trajectory.csv,False,True,1,0.15,11.158333333323185,2.639772891998291,0.16668827831745148,12.59008502960205,2.7588436603546143,0.058435078244656324,0.10105250112246722,0.16785874238244658,False,False,False,True,2,9.308333333323048,,17.176778614521027,17.186371237039566,8.05,1.2583333333333333,grasp_retention_limit,1358
x_positive_combined,0,force,x_positive_combined/repeat0/force,x_positive_combined/repeat0/force/trajectory.csv,False,True,2,0.675,10.71666666665692,2.8433172702789307,0.24335092306137085,8.123800277709961,2.957362174987793,0.03700234447023831,0.04521747541730292,0.09691328065893987,False,False,True,True,2,19.99999999997999,,16.453934460878372,16.974089294672012,8.766666666666666,2.5,time_budget_exhausted,2641
x_positive_combined,0,nominal,x_positive_combined/repeat0/nominal,x_positive_combined/repeat0/nominal/trajectory.csv,False,True,1,0.4,9.474999999991383,2.5987117290496826,0.16994065046310425,13.568143844604492,2.7254886627197266,0.06472731911344454,0.09009670611703768,0.17693865179075874,False,False,True,True,0,19.99999999997999,,17.18268319964409,17.191430181264877,8.0,0.0,time_budget_exhausted,2641
x_positive_drift_control,1,force,x_positive_drift_control/repeat1/force,x_positive_drift_control/repeat1/force/trajectory.csv,True,False,0,0.0,,1.3150354623794556,0.08904827386140823,1.1764591932296753,1.4705727100372314,0.002261434474348789,0.02177998612751253,0.07912936237050427,False,False,True,True,0,7.858333333324367,7.858333333324367,19.675148278474808,19.675148278474808,7.858333333333333,0.0,insertion_success,1184
x_positive_drift_control,1,productivity,x_positive_drift_control/repeat1/productivity,x_positive_drift_control/repeat1/productivity/trajectory.csv,True,False,0,0.0,,1.3150354623794556,0.08904827386140823,1.1764591932296753,1.4705727100372314,0.002261434474348789,0.02177998612751253,0.07912936237050427,False,False,True,True,0,7.858333333324367,7.858333333324367,19.675148278474808,19.675148278474808,7.858333333333333,0.0,insertion_success,1184
x_positive_drift_control,1,nominal,x_positive_drift_control/repeat1/nominal,x_positive_drift_control/repeat1/nominal/trajectory.csv,True,False,0,0.0,,1.3188409805297852,0.0904630497097969,1.1792409420013428,1.4740432500839233,0.0024290864075737773,0.022446662114816718,0.07912936237050427,False,False,True,True,0,7.8499999999910415,7.8499999999910415,19.701843708753586,19.701843708753586,7.85,0.0,insertion_success,1183
y_positive_combined,1,productivity,y_positive_combined/repeat1/productivity,y_positive_combined/repeat1/productivity/trajectory.csv,False,True,2,0.7583333333333333,10.55833333332373,3.6798341274261475,0.17872267961502075,16.67090606689453,3.967053174972534,0.08530813647666946,0.053365114581538364,0.16312936999074168,False,False,True,True,2,19.99999999997999,,16.365615278482437,16.374153643846512,8.683333333333334,2.5,time_budget_exhausted,2641
y_positive_combined,1,force,y_positive_combined/repeat1/force,y_positive_combined/repeat1/force/trajectory.csv,False,True,3,0.9166666666666666,8.849999999991951,3.92124342918396,0.17692875862121582,16.652925491333008,4.218883514404297,0.08530813647666946,0.05577625415753573,0.16785874238244658,False,False,True,True,2,19.99999999997999,,16.37071892619133,16.37432500720024,8.883333333333333,2.5,time_budget_exhausted,2641
y_positive_combined,1,nominal,y_positive_combined/repeat1/nominal,y_positive_combined/repeat1/nominal/trajectory.csv,False,True,1,1.0333333333333332,8.841666666658625,3.702772378921509,0.156391903758049,16.364242553710938,3.998408555984497,0.08353835437446833,0.053296313126338646,0.15825873808122176,False,False,True,True,0,19.99999999997999,,16.353821009397507,16.356760263442993,8.0,0.0,time_budget_exhausted,2641
x_positive_combined,1,force,x_positive_combined/repeat1/force,x_positive_combined/repeat1/force/trajectory.csv,False,True,2,0.675,10.71666666665692,2.8433172702789307,0.24335092306137085,8.123800277709961,2.957362174987793,0.03700234447023831,0.04521747541730292,0.09691328065893987,False,False,True,True,2,19.99999999997999,,16.453934460878372,16.974089294672012,8.766666666666666,2.5,time_budget_exhausted,2641
x_positive_combined,1,nominal,x_positive_combined/repeat1/nominal,x_positive_combined/repeat1/nominal/trajectory.csv,False,True,1,0.4,9.474999999991383,2.686657428741455,0.16668827831745148,12.722184181213379,2.7998125553131104,0.059156183851882815,0.09595482697477564,0.17245846124184028,False,False,True,True,0,19.99999999997999,,17.17936024069786,17.186371237039566,8.0,0.0,time_budget_exhausted,2641
x_positive_combined,1,productivity,x_positive_combined/repeat1/productivity,x_positive_combined/repeat1/productivity/trajectory.csv,False,True,1,0.15,11.158333333323185,2.45055890083313,0.16994065046310425,12.862504005432129,2.5443389415740967,0.06033595491317101,0.1076238913810812,0.19782343594174043,False,False,False,True,2,9.316666666656374,,17.17994138598442,17.191430181264877,8.05,1.2666666666666666,grasp_retention_limit,1359
y_negative_tilt,1,nominal,y_negative_tilt/repeat1/nominal,y_negative_tilt/repeat1/nominal/trajectory.csv,False,True,1,0.5916666666666667,9.28333333332489,3.4483203887939453,0.1435348242521286,16.214092254638672,3.8684370517730713,0.08058892854023725,0.05135238097864203,0.11869404022070311,False,False,True,True,0,19.99999999997999,,16.969328373670578,17.298878729343414,8.0,0.0,time_budget_exhausted,2641
y_negative_tilt,1,productivity,y_negative_tilt/repeat1/productivity,y_negative_tilt/repeat1/productivity/trajectory.csv,False,True,3,0.575,9.28333333332489,3.4737513065338135,0.18105126917362213,15.921327590942383,3.885599136352539,0.08026121213333681,0.052171628340147436,0.11869404022070311,False,False,True,True,2,19.99999999997999,,16.957951337099075,17.298878729343414,8.975,2.5,time_budget_exhausted,2641
y_negative_tilt,1,force,y_negative_tilt/repeat1/force,y_negative_tilt/repeat1/force/trajectory.csv,False,True,2,0.5333333333333333,10.758333333323549,3.4068820476531982,0.17780445516109467,16.312288284301758,3.7974956035614014,0.08019567030714825,0.054125412134453654,0.11869404022070311,False,False,True,True,2,19.999999999980048,,17.004629224538803,17.304939776659012,8.666666666666666,2.5,time_budget_exhausted,2641
